task,worker,label,source
14334,510,0,random_label3
14335,481,8,random_label1
14335,284,1,random_label2
14335,510,0,random_label3
14336,481,1,random_label1
14336,284,1,random_label2
14336,510,1,random_label3
14337,481,5,random_label1
14337,284,5,random_label2
14337,510,5,random_label3
14338,481,9,random_label1
14338,284,9,random_label2
14338,510,9,random_label3
14339,481,1,random_label1
14339,284,9,random_label2
14339,510,1,random_label3
14340,136,3,random_label1
14340,491,3,random_label2
14340,376,3,random_label3
14341,136,0,random_label1
14341,491,0,random_label2
14341,376,0,random_label3
14342,136,6,random_label1
14342,491,6,random_label2
14342,376,6,random_label3
14343,136,0,random_label1
14343,491,0,random_label2
14343,376,0,random_label3
14344,136,3,random_label1
14344,491,3,random_label2
14344,376,3,random_label3
14345,136,6,random_label1
14345,491,6,random_label2
14345,376,6,random_label3
14346,136,5,random_label1
14346,491,5,random_label2
14346,376,5,random_label3
14347,136,0,random_label1
14347,491,0,random_label2
14347,376,0,random_label3
14348,136,8,random_label1
14348,491,0,random_label2
14348,376,8,random_label3
14349,136,7,random_label1
14349,491,7,random_label2
14349,376,7,random_label3
14350,529,0,random_label1
14350,719,0,random_label2
14350,206,0,random_label3
14351,529,1,random_label1
14351,719,1,random_label2
14351,206,4,random_label3
14352,529,6,random_label1
14352,719,6,random_label2
14352,206,6,random_label3
14353,529,2,random_label1
14353,719,7,random_label2
14353,206,2,random_label3
14354,529,8,random_label1
14354,719,8,random_label2
14354,206,8,random_label3
14355,529,5,random_label1
14355,719,5,random_label2
14355,206,5,random_label3
14356,529,7,random_label1
14356,719,7,random_label2
14356,206,7,random_label3
14357,529,9,random_label1
14357,719,9,random_label2
14357,206,9,random_label3
14358,529,1,random_label1
14358,719,1,random_label2
14358,206,1,random_label3
14359,529,4,random_label1
14359,719,7,random_label2
14359,206,4,random_label3
14360,576,2,random_label1
14360,273,2,random_label2
14360,284,2,random_label3
14361,576,9,random_label1
14361,273,9,random_label2
14361,284,9,random_label3
14362,576,4,random_label1
14362,273,4,random_label2
14362,284,4,random_label3
14363,576,7,random_label1
14363,273,7,random_label2
14363,284,7,random_label3
14364,576,2,random_label1
14364,273,2,random_label2
14364,284,2,random_label3
14365,576,0,random_label1
14365,273,0,random_label2
14365,284,0,random_label3
14366,576,5,random_label1
14366,273,5,random_label2
14366,284,5,random_label3
14367,576,1,random_label1
14367,273,1,random_label2
14367,284,1,random_label3
14368,576,3,random_label1
14368,273,3,random_label2
14368,284,3,random_label3
14369,576,8,random_label1
14369,273,8,random_label2
14369,284,8,random_label3
14370,273,7,random_label1
14370,54,7,random_label2
14370,206,7,random_label3
14371,273,2,random_label1
14371,54,2,random_label2
14371,206,9,random_label3
14372,273,7,random_label1
14372,54,7,random_label2
14372,206,7,random_label3
14373,273,3,random_label1
14373,54,3,random_label2
14373,206,3,random_label3
14374,273,7,random_label1
14374,54,7,random_label2
14374,206,7,random_label3
14375,273,5,random_label1
14375,54,7,random_label2
14375,206,7,random_label3
14376,273,1,random_label1
14376,54,1,random_label2
14376,206,1,random_label3
14377,273,2,random_label1
14377,54,4,random_label2
14377,206,4,random_label3
14378,273,1,random_label1
14378,54,1,random_label2
14378,206,1,random_label3
14379,273,1,random_label1
14379,54,1,random_label2
14379,206,1,random_label3
14380,514,3,random_label1
14380,88,3,random_label2
14380,87,3,random_label3
14381,514,1,random_label1
14381,88,1,random_label2
14381,87,1,random_label3
14382,514,4,random_label1
14382,88,4,random_label2
14382,87,4,random_label3
14383,514,2,random_label1
14383,88,2,random_label2
14383,87,2,random_label3
14384,514,1,random_label1
14384,88,1,random_label2
14384,87,1,random_label3
14385,514,4,random_label1
14385,88,4,random_label2
14385,87,4,random_label3
14386,514,3,random_label1
14386,88,3,random_label2
14386,87,8,random_label3
14387,514,9,random_label1
14387,88,9,random_label2
14387,87,9,random_label3
14388,514,4,random_label1
14388,88,4,random_label2
14388,87,4,random_label3
14389,514,8,random_label1
14389,88,8,random_label2
14389,87,8,random_label3
14390,28,0,random_label1
14390,180,0,random_label2
14390,689,0,random_label3
14391,28,7,random_label1
14391,180,7,random_label2
14391,689,5,random_label3
14392,28,6,random_label1
14392,180,1,random_label2
14392,689,6,random_label3
14393,28,0,random_label1
14393,180,0,random_label2
14393,689,0,random_label3
14394,28,7,random_label1
14394,180,7,random_label2
14394,689,7,random_label3
14395,28,6,random_label1
14395,180,1,random_label2
14395,689,6,random_label3
14396,28,4,random_label1
14396,180,4,random_label2
14396,689,4,random_label3
14397,28,4,random_label1
14397,180,4,random_label2
14397,689,4,random_label3
14398,28,7,random_label1
14398,180,7,random_label2
14398,689,4,random_label3
14399,28,3,random_label1
14399,180,2,random_label2
14399,689,2,random_label3
14400,206,7,random_label1
14400,197,7,random_label2
14400,622,6,random_label3
14401,206,9,random_label1
14401,197,9,random_label2
14401,622,9,random_label3
14402,206,8,random_label1
14402,197,8,random_label2
14402,622,8,random_label3
14403,206,7,random_label1
14403,197,7,random_label2
14403,622,7,random_label3
14404,206,2,random_label1
14404,197,2,random_label2
14404,622,6,random_label3
14405,206,5,random_label1
14405,197,5,random_label2
14405,622,5,random_label3
14406,206,9,random_label1
14406,197,1,random_label2
14406,622,1,random_label3
14407,206,0,random_label1
14407,197,0,random_label2
14407,622,0,random_label3
14408,206,5,random_label1
14408,197,5,random_label2
14408,622,0,random_label3
14409,206,1,random_label1
14409,197,4,random_label2
14409,622,9,random_label3
14410,47,4,random_label1
14410,206,4,random_label2
14410,259,7,random_label3
14411,47,4,random_label1
14411,206,6,random_label2
14411,259,5,random_label3
14412,47,4,random_label1
14412,206,4,random_label2
14412,259,7,random_label3
14413,47,0,random_label1
14413,206,0,random_label2
14413,259,4,random_label3
14414,47,6,random_label1
14414,206,6,random_label2
14414,259,6,random_label3
14415,47,4,random_label1
14415,206,4,random_label2
14415,259,4,random_label3
14416,47,7,random_label1
14416,206,4,random_label2
14416,259,7,random_label3
14417,47,1,random_label1
14417,206,1,random_label2
14417,259,1,random_label3
14418,47,4,random_label1
14418,206,4,random_label2
14418,259,4,random_label3
14419,47,3,random_label1
14419,206,6,random_label2
14419,259,3,random_label3
14420,571,9,random_label1
14420,382,9,random_label2
14420,594,9,random_label3
14421,571,8,random_label1
14421,382,2,random_label2
14421,594,2,random_label3
14422,571,3,random_label1
14422,382,3,random_label2
14422,594,3,random_label3
14423,571,2,random_label1
14423,382,2,random_label2
14423,594,2,random_label3
14424,571,1,random_label1
14424,382,9,random_label2
14424,594,9,random_label3
14425,571,1,random_label1
14425,382,1,random_label2
14425,594,1,random_label3
14426,571,8,random_label1
14426,382,2,random_label2
14426,594,2,random_label3
14427,571,8,random_label1
14427,382,8,random_label2
14427,594,8,random_label3
14428,571,6,random_label1
14428,382,6,random_label2
14428,594,0,random_label3
14429,571,4,random_label1
14429,382,0,random_label2
14429,594,4,random_label3
14430,727,7,random_label1
14430,206,7,random_label2
14430,87,7,random_label3
14431,727,7,random_label1
14431,206,7,random_label2
14431,87,7,random_label3
14432,727,5,random_label1
14432,206,5,random_label2
14432,87,5,random_label3
14433,727,9,random_label1
14433,206,9,random_label2
14433,87,1,random_label3
14434,727,0,random_label1
14434,206,0,random_label2
14434,87,0,random_label3
14435,727,2,random_label1
14435,206,2,random_label2
14435,87,2,random_label3
14436,727,9,random_label1
14436,206,9,random_label2
14436,87,9,random_label3
14437,727,5,random_label1
14437,206,5,random_label2
14437,87,5,random_label3
14438,727,8,random_label1
14438,206,8,random_label2
14438,87,8,random_label3
14439,727,2,random_label1
14439,206,2,random_label2
14439,87,2,random_label3
14440,29,7,random_label1
14440,28,4,random_label2
14440,510,7,random_label3
14441,29,0,random_label1
14441,28,0,random_label2
14441,510,0,random_label3
14442,29,8,random_label1
14442,28,8,random_label2
14442,510,8,random_label3
14443,29,6,random_label1
14443,28,6,random_label2
14443,510,6,random_label3
14444,29,6,random_label1
14444,28,6,random_label2
14444,510,0,random_label3
14445,29,1,random_label1
14445,28,1,random_label2
14445,510,1,random_label3
14446,29,5,random_label1
14446,28,7,random_label2
14446,510,7,random_label3
14447,29,7,random_label1
14447,28,4,random_label2
14447,510,4,random_label3
14448,29,1,random_label1
14448,28,9,random_label2
14448,510,1,random_label3
14449,29,7,random_label1
14449,28,7,random_label2
14449,510,7,random_label3
14450,54,0,random_label1
14450,163,0,random_label2
14450,552,0,random_label3
14451,54,1,random_label1
14451,163,1,random_label2
14451,552,1,random_label3
14452,54,7,random_label1
14452,163,4,random_label2
14452,552,7,random_label3
14453,54,5,random_label1
14453,163,5,random_label2
14453,552,5,random_label3
14454,54,3,random_label1
14454,163,3,random_label2
14454,552,0,random_label3
14455,54,1,random_label1
14455,163,1,random_label2
14455,552,1,random_label3
14456,54,0,random_label1
14456,163,0,random_label2
14456,552,0,random_label3
14457,54,4,random_label1
14457,163,6,random_label2
14457,552,6,random_label3
14458,54,9,random_label1
14458,163,9,random_label2
14458,552,9,random_label3
14459,54,2,random_label1
14459,163,2,random_label2
14459,552,7,random_label3
14460,273,0,random_label1
14460,206,0,random_label2
14460,430,0,random_label3
14461,273,1,random_label1
14461,206,1,random_label2
14461,430,1,random_label3
14462,273,6,random_label1
14462,206,1,random_label2
14462,430,1,random_label3
14463,273,2,random_label1
14463,206,2,random_label2
14463,430,2,random_label3
14464,273,8,random_label1
14464,206,8,random_label2
14464,430,8,random_label3
14465,273,5,random_label1
14465,206,5,random_label2
14465,430,5,random_label3
14466,273,3,random_label1
14466,206,3,random_label2
14466,430,3,random_label3
14467,273,9,random_label1
14467,206,9,random_label2
14467,430,9,random_label3
14468,273,0,random_label1
14468,206,0,random_label2
14468,430,0,random_label3
14469,273,4,random_label1
14469,206,4,random_label2
14469,430,4,random_label3
14470,727,1,random_label1
14470,213,1,random_label2
14470,588,1,random_label3
14471,727,9,random_label1
14471,213,9,random_label2
14471,588,1,random_label3
14472,727,2,random_label1
14472,213,2,random_label2
14472,588,2,random_label3
14473,727,2,random_label1
14473,213,2,random_label2
14473,588,2,random_label3
14474,727,2,random_label1
14474,213,2,random_label2
14474,588,6,random_label3
14475,727,9,random_label1
14475,213,9,random_label2
14475,588,9,random_label3
14476,727,6,random_label1
14476,213,6,random_label2
14476,588,6,random_label3
14477,727,5,random_label1
14477,213,5,random_label2
14477,588,5,random_label3
14478,727,2,random_label1
14478,213,2,random_label2
14478,588,2,random_label3
14479,727,0,random_label1
14479,213,0,random_label2
14479,588,0,random_label3
14480,430,0,random_label1
14480,727,6,random_label2
14480,423,6,random_label3
14481,430,1,random_label1
14481,727,1,random_label2
14481,423,1,random_label3
14482,430,8,random_label1
14482,727,0,random_label2
14482,423,3,random_label3
14483,430,8,random_label1
14483,727,8,random_label2
14483,423,8,random_label3
14484,430,4,random_label1
14484,727,4,random_label2
14484,423,4,random_label3
14485,430,3,random_label1
14485,727,3,random_label2
14485,423,2,random_label3
14486,430,2,random_label1
14486,727,0,random_label2
14486,423,0,random_label3
14487,430,8,random_label1
14487,727,9,random_label2
14487,423,0,random_label3
14488,430,0,random_label1
14488,727,0,random_label2
14488,423,0,random_label3
14489,430,7,random_label1
14489,727,7,random_label2
14489,423,7,random_label3
14490,260,2,random_label1
14490,532,2,random_label2
14490,194,4,random_label3
14491,260,8,random_label1
14491,532,9,random_label2
14491,194,5,random_label3
14492,260,7,random_label1
14492,532,7,random_label2
14492,194,4,random_label3
14493,260,7,random_label1
14493,532,7,random_label2
14493,194,7,random_label3
14494,260,3,random_label1
14494,532,3,random_label2
14494,194,3,random_label3
14495,260,5,random_label1
14495,532,5,random_label2
14495,194,5,random_label3
14496,260,2,random_label1
14496,532,2,random_label2
14496,194,2,random_label3
14497,260,1,random_label1
14497,532,8,random_label2
14497,194,8,random_label3
14498,260,1,random_label1
14498,532,1,random_label2
14498,194,1,random_label3
14499,260,0,random_label1
14499,532,0,random_label2
14499,194,0,random_label3
14500,727,2,random_label1
14500,87,2,random_label2
14500,576,4,random_label3
14501,727,1,random_label1
14501,87,1,random_label2
14501,576,1,random_label3
14502,727,1,random_label1
14502,87,1,random_label2
14502,576,1,random_label3
14503,727,7,random_label1
14503,87,7,random_label2
14503,576,7,random_label3
14504,727,4,random_label1
14504,87,4,random_label2
14504,576,5,random_label3
14505,727,6,random_label1
14505,87,6,random_label2
14505,576,6,random_label3
14506,727,9,random_label1
14506,87,1,random_label2
14506,576,9,random_label3
14507,727,1,random_label1
14507,87,3,random_label2
14507,576,1,random_label3
14508,727,2,random_label1
14508,87,6,random_label2
14508,576,6,random_label3
14509,727,0,random_label1
14509,87,0,random_label2
14509,576,0,random_label3
14510,686,9,random_label1
14510,197,1,random_label2
14510,467,1,random_label3
14511,686,3,random_label1
14511,197,3,random_label2
14511,467,3,random_label3
14512,686,1,random_label1
14512,197,1,random_label2
14512,467,1,random_label3
14513,686,2,random_label1
14513,197,4,random_label2
14513,467,2,random_label3
14514,686,6,random_label1
14514,197,6,random_label2
14514,467,6,random_label3
14515,686,5,random_label1
14515,197,9,random_label2
14515,467,9,random_label3
14516,686,4,random_label1
14516,197,6,random_label2
14516,467,5,random_label3
14517,686,7,random_label1
14517,197,7,random_label2
14517,467,7,random_label3
14518,686,1,random_label1
14518,197,1,random_label2
14518,467,1,random_label3
14519,686,1,random_label1
14519,197,1,random_label2
14519,467,1,random_label3
14520,467,0,random_label1
14520,206,0,random_label2
14520,727,0,random_label3
14521,467,4,random_label1
14521,206,4,random_label2
14521,727,4,random_label3
14522,467,3,random_label1
14522,206,5,random_label2
14522,727,3,random_label3
14523,467,1,random_label1
14523,206,1,random_label2
14523,727,9,random_label3
14524,467,1,random_label1
14524,206,1,random_label2
14524,727,1,random_label3
14525,467,9,random_label1
14525,206,9,random_label2
14525,727,9,random_label3
14526,467,3,random_label1
14526,206,3,random_label2
14526,727,3,random_label3
14527,467,3,random_label1
14527,206,3,random_label2
14527,727,9,random_label3
14528,467,3,random_label1
14528,206,0,random_label2
14528,727,0,random_label3
14529,467,8,random_label1
14529,206,8,random_label2
14529,727,8,random_label3
14530,273,2,random_label1
14530,435,5,random_label2
14530,194,2,random_label3
14531,273,7,random_label1
14531,435,7,random_label2
14531,194,7,random_label3
14532,273,4,random_label1
14532,435,4,random_label2
14532,194,7,random_label3
14533,273,5,random_label1
14533,435,5,random_label2
14533,194,4,random_label3
14534,273,1,random_label1
14534,435,1,random_label2
14534,194,0,random_label3
14535,273,8,random_label1
14535,435,4,random_label2
14535,194,4,random_label3
14536,273,3,random_label1
14536,435,3,random_label2
14536,194,3,random_label3
14537,273,7,random_label1
14537,435,7,random_label2
14537,194,7,random_label3
14538,273,1,random_label1
14538,435,1,random_label2
14538,194,1,random_label3
14539,273,8,random_label1
14539,435,8,random_label2
14539,194,8,random_label3
14540,206,4,random_label1
14540,529,7,random_label2
14540,374,7,random_label3
14541,206,9,random_label1
14541,529,9,random_label2
14541,374,9,random_label3
14542,206,8,random_label1
14542,529,7,random_label2
14542,374,8,random_label3
14543,206,3,random_label1
14543,529,3,random_label2
14543,374,3,random_label3
14544,206,3,random_label1
14544,529,6,random_label2
14544,374,6,random_label3
14545,206,9,random_label1
14545,529,9,random_label2
14545,374,9,random_label3
14546,206,1,random_label1
14546,529,9,random_label2
14546,374,1,random_label3
14547,206,6,random_label1
14547,529,3,random_label2
14547,374,6,random_label3
14548,206,0,random_label1
14548,529,0,random_label2
14548,374,0,random_label3
14549,206,1,random_label1
14549,529,1,random_label2
14549,374,1,random_label3
14550,87,0,random_label1
14550,88,5,random_label2
14550,206,0,random_label3
14551,87,8,random_label1
14551,88,8,random_label2
14551,206,8,random_label3
14552,87,9,random_label1
14552,88,9,random_label2
14552,206,9,random_label3
14553,87,6,random_label1
14553,88,6,random_label2
14553,206,6,random_label3
14554,87,3,random_label1
14554,88,3,random_label2
14554,206,6,random_label3
14555,87,4,random_label1
14555,88,4,random_label2
14555,206,4,random_label3
14556,87,7,random_label1
14556,88,7,random_label2
14556,206,7,random_label3
14557,87,4,random_label1
14557,88,2,random_label2
14557,206,4,random_label3
14558,87,5,random_label1
14558,88,5,random_label2
14558,206,5,random_label3
14559,87,2,random_label1
14559,88,2,random_label2
14559,206,2,random_label3
14560,223,0,random_label1
14560,719,7,random_label2
14560,206,7,random_label3
14561,223,7,random_label1
14561,719,7,random_label2
14561,206,7,random_label3
14562,223,1,random_label1
14562,719,9,random_label2
14562,206,9,random_label3
14563,223,1,random_label1
14563,719,1,random_label2
14563,206,9,random_label3
14564,223,9,random_label1
14564,719,9,random_label2
14564,206,9,random_label3
14565,223,8,random_label1
14565,719,8,random_label2
14565,206,8,random_label3
14566,223,4,random_label1
14566,719,4,random_label2
14566,206,4,random_label3
14567,223,0,random_label1
14567,719,0,random_label2
14567,206,0,random_label3
14568,223,3,random_label1
14568,719,5,random_label2
14568,206,2,random_label3
14569,223,2,random_label1
14569,719,2,random_label2
14569,206,2,random_label3
14570,206,5,random_label1
14570,194,5,random_label2
14570,59,5,random_label3
14571,206,9,random_label1
14571,194,9,random_label2
14571,59,0,random_label3
14572,206,0,random_label1
14572,194,9,random_label2
14572,59,9,random_label3
14573,206,4,random_label1
14573,194,4,random_label2
14573,59,4,random_label3
14574,206,3,random_label1
14574,194,0,random_label2
14574,59,5,random_label3
14575,206,5,random_label1
14575,194,3,random_label2
14575,59,3,random_label3
14576,206,4,random_label1
14576,194,4,random_label2
14576,59,4,random_label3
14577,206,7,random_label1
14577,194,7,random_label2
14577,59,7,random_label3
14578,206,3,random_label1
14578,194,2,random_label2
14578,59,3,random_label3
14579,206,5,random_label1
14579,194,3,random_label2
14579,59,5,random_label3
14580,430,3,random_label1
14580,206,3,random_label2
14580,165,3,random_label3
14581,430,8,random_label1
14581,206,8,random_label2
14581,165,8,random_label3
14582,430,7,random_label1
14582,206,7,random_label2
14582,165,7,random_label3
14583,430,0,random_label1
14583,206,8,random_label2
14583,165,0,random_label3
14584,430,7,random_label1
14584,206,4,random_label2
14584,165,4,random_label3
14585,430,0,random_label1
14585,206,0,random_label2
14585,165,0,random_label3
14586,430,9,random_label1
14586,206,9,random_label2
14586,165,1,random_label3
14587,430,8,random_label1
14587,206,8,random_label2
14587,165,8,random_label3
14588,430,2,random_label1
14588,206,2,random_label2
14588,165,2,random_label3
14589,430,4,random_label1
14589,206,7,random_label2
14589,165,7,random_label3
14590,223,3,random_label1
14590,682,3,random_label2
14590,430,3,random_label3
14591,223,3,random_label1
14591,682,0,random_label2
14591,430,0,random_label3
14592,223,9,random_label1
14592,682,0,random_label2
14592,430,0,random_label3
14593,223,1,random_label1
14593,682,0,random_label2
14593,430,1,random_label3
14594,223,8,random_label1
14594,682,0,random_label2
14594,430,0,random_label3
14595,223,2,random_label1
14595,682,2,random_label2
14595,430,2,random_label3
14596,223,7,random_label1
14596,682,7,random_label2
14596,430,1,random_label3
14597,223,0,random_label1
14597,682,1,random_label2
14597,430,0,random_label3
14598,223,1,random_label1
14598,682,1,random_label2
14598,430,9,random_label3
14599,223,9,random_label1
14599,682,9,random_label2
14599,430,5,random_label3
14600,206,4,random_label1
14600,623,4,random_label2
14600,29,4,random_label3
14601,206,2,random_label1
14601,623,2,random_label2
14601,29,2,random_label3
14602,206,2,random_label1
14602,623,2,random_label2
14602,29,2,random_label3
14603,206,7,random_label1
14603,623,7,random_label2
14603,29,7,random_label3
14604,206,6,random_label1
14604,623,6,random_label2
14604,29,6,random_label3
14605,206,5,random_label1
14605,623,5,random_label2
14605,29,2,random_label3
14606,206,8,random_label1
14606,623,8,random_label2
14606,29,8,random_label3
14607,206,1,random_label1
14607,623,4,random_label2
14607,29,4,random_label3
14608,206,6,random_label1
14608,623,6,random_label2
14608,29,6,random_label3
14609,206,9,random_label1
14609,623,9,random_label2
14609,29,9,random_label3
14610,622,9,random_label1
14610,638,9,random_label2
14610,540,9,random_label3
14611,622,7,random_label1
14611,638,7,random_label2
14611,540,7,random_label3
14612,622,4,random_label1
14612,638,4,random_label2
14612,540,4,random_label3
14613,622,8,random_label1
14613,638,1,random_label2
14613,540,8,random_label3
14614,622,7,random_label1
14614,638,4,random_label2
14614,540,7,random_label3
14615,622,0,random_label1
14615,638,0,random_label2
14615,540,0,random_label3
14616,622,1,random_label1
14616,638,9,random_label2
14616,540,9,random_label3
14617,622,9,random_label1
14617,638,1,random_label2
14617,540,9,random_label3
14618,622,4,random_label1
14618,638,4,random_label2
14618,540,4,random_label3
14619,622,2,random_label1
14619,638,2,random_label2
14619,540,2,random_label3
14620,530,6,random_label1
14620,206,2,random_label2
14620,249,6,random_label3
14621,530,6,random_label1
14621,206,7,random_label2
14621,249,3,random_label3
14622,530,2,random_label1
14622,206,6,random_label2
14622,249,6,random_label3
14623,530,3,random_label1
14623,206,0,random_label2
14623,249,3,random_label3
14624,530,0,random_label1
14624,206,8,random_label2
14624,249,8,random_label3
14625,530,6,random_label1
14625,206,2,random_label2
14625,249,3,random_label3
14626,530,9,random_label1
14626,206,9,random_label2
14626,249,1,random_label3
14627,530,5,random_label1
14627,206,5,random_label2
14627,249,5,random_label3
14628,530,6,random_label1
14628,206,0,random_label2
14628,249,6,random_label3
14629,530,8,random_label1
14629,206,6,random_label2
14629,249,2,random_label3
14630,682,7,random_label1
14630,552,7,random_label2
14630,638,7,random_label3
14631,682,6,random_label1
14631,552,6,random_label2
14631,638,6,random_label3
14632,682,5,random_label1
14632,552,5,random_label2
14632,638,5,random_label3
14633,682,7,random_label1
14633,552,7,random_label2
14633,638,7,random_label3
14634,682,4,random_label1
14634,552,4,random_label2
14634,638,7,random_label3
14635,682,1,random_label1
14635,552,4,random_label2
14635,638,4,random_label3
14636,682,7,random_label1
14636,552,7,random_label2
14636,638,7,random_label3
14637,682,8,random_label1
14637,552,8,random_label2
14637,638,8,random_label3
14638,682,6,random_label1
14638,552,6,random_label2
14638,638,6,random_label3
14639,682,6,random_label1
14639,552,6,random_label2
14639,638,0,random_label3
14640,259,2,random_label1
14640,529,2,random_label2
14640,206,2,random_label3
14641,259,7,random_label1
14641,529,7,random_label2
14641,206,7,random_label3
14642,259,8,random_label1
14642,529,8,random_label2
14642,206,8,random_label3
14643,259,3,random_label1
14643,529,1,random_label2
14643,206,1,random_label3
14644,259,4,random_label1
14644,529,4,random_label2
14644,206,4,random_label3
14645,259,2,random_label1
14645,529,4,random_label2
14645,206,4,random_label3
14646,259,7,random_label1
14646,529,2,random_label2
14646,206,2,random_label3
14647,259,2,random_label1
14647,529,3,random_label2
14647,206,8,random_label3
14648,259,8,random_label1
14648,529,8,random_label2
14648,206,8,random_label3
14649,259,4,random_label1
14649,529,4,random_label2
14649,206,4,random_label3
14650,259,5,random_label1
14650,314,3,random_label2
14650,571,5,random_label3
14651,259,3,random_label1
14651,314,3,random_label2
14651,571,5,random_label3
14652,259,9,random_label1
14652,314,0,random_label2
14652,571,0,random_label3
14653,259,7,random_label1
14653,314,7,random_label2
14653,571,7,random_label3
14654,259,0,random_label1
14654,314,0,random_label2
14654,571,0,random_label3
14655,259,2,random_label1
14655,314,3,random_label2
14655,571,2,random_label3
14656,259,4,random_label1
14656,314,4,random_label2
14656,571,5,random_label3
14657,259,2,random_label1
14657,314,5,random_label2
14657,571,5,random_label3
14658,259,9,random_label1
14658,314,2,random_label2
14658,571,2,random_label3
14659,259,9,random_label1
14659,314,1,random_label2
14659,571,1,random_label3
14660,206,1,random_label1
14660,374,3,random_label2
14660,467,6,random_label3
14661,206,1,random_label1
14661,374,5,random_label2
14661,467,9,random_label3
14662,206,1,random_label1
14662,374,1,random_label2
14662,467,1,random_label3
14663,206,5,random_label1
14663,374,5,random_label2
14663,467,5,random_label3
14664,206,4,random_label1
14664,374,4,random_label2
14664,467,4,random_label3
14665,206,8,random_label1
14665,374,8,random_label2
14665,467,8,random_label3
14666,206,0,random_label1
14666,374,0,random_label2
14666,467,0,random_label3
14667,206,4,random_label1
14667,374,8,random_label2
14667,467,7,random_label3
14668,206,1,random_label1
14668,374,1,random_label2
14668,467,9,random_label3
14669,206,5,random_label1
14669,374,5,random_label2
14669,467,3,random_label3
14670,686,4,random_label1
14670,206,4,random_label2
14670,335,3,random_label3
14671,686,7,random_label1
14671,206,7,random_label2
14671,335,7,random_label3
14672,686,7,random_label1
14672,206,2,random_label2
14672,335,2,random_label3
14673,686,5,random_label1
14673,206,5,random_label2
14673,335,8,random_label3
14674,686,3,random_label1
14674,206,5,random_label2
14674,335,9,random_label3
14675,686,2,random_label1
14675,206,8,random_label2
14675,335,2,random_label3
14676,686,1,random_label1
14676,206,1,random_label2
14676,335,1,random_label3
14677,686,5,random_label1
14677,206,3,random_label2
14677,335,3,random_label3
14678,686,6,random_label1
14678,206,9,random_label2
14678,335,5,random_label3
14679,686,6,random_label1
14679,206,2,random_label2
14679,335,6,random_label3
14680,273,7,random_label1
14680,430,7,random_label2
14680,54,7,random_label3
14681,273,2,random_label1
14681,430,3,random_label2
14681,54,3,random_label3
14682,273,5,random_label1
14682,430,5,random_label2
14682,54,8,random_label3
14683,273,9,random_label1
14683,430,9,random_label2
14683,54,0,random_label3
14684,273,0,random_label1
14684,430,8,random_label2
14684,54,8,random_label3
14685,273,7,random_label1
14685,430,3,random_label2
14685,54,3,random_label3
14686,273,7,random_label1
14686,430,7,random_label2
14686,54,7,random_label3
14687,273,9,random_label1
14687,430,9,random_label2
14687,54,9,random_label3
14688,273,3,random_label1
14688,430,4,random_label2
14688,54,2,random_label3
14689,273,0,random_label1
14689,430,8,random_label2
14689,54,4,random_label3
14690,13,7,random_label1
14690,206,4,random_label2
14690,679,4,random_label3
14691,13,5,random_label1
14691,206,5,random_label2
14691,679,5,random_label3
14692,13,4,random_label1
14692,206,7,random_label2
14692,679,7,random_label3
14693,13,8,random_label1
14693,206,9,random_label2
14693,679,8,random_label3
14694,13,6,random_label1
14694,206,6,random_label2
14694,679,6,random_label3
14695,13,9,random_label1
14695,206,9,random_label2
14695,679,1,random_label3
14696,13,5,random_label1
14696,206,5,random_label2
14696,679,5,random_label3
14697,13,2,random_label1
14697,206,2,random_label2
14697,679,2,random_label3
14698,13,0,random_label1
14698,206,0,random_label2
14698,679,8,random_label3
14699,13,4,random_label1
14699,206,4,random_label2
14699,679,4,random_label3
14700,263,5,random_label1
14700,180,5,random_label2
14700,727,5,random_label3
14701,263,6,random_label1
14701,180,5,random_label2
14701,727,6,random_label3
14702,263,3,random_label1
14702,180,3,random_label2
14702,727,3,random_label3
14703,263,3,random_label1
14703,180,3,random_label2
14703,727,3,random_label3
14704,263,7,random_label1
14704,180,7,random_label2
14704,727,7,random_label3
14705,263,1,random_label1
14705,180,9,random_label2
14705,727,9,random_label3
14706,263,3,random_label1
14706,180,3,random_label2
14706,727,5,random_label3
14707,263,5,random_label1
14707,180,5,random_label2
14707,727,5,random_label3
14708,263,0,random_label1
14708,180,0,random_label2
14708,727,0,random_label3
14709,263,3,random_label1
14709,180,3,random_label2
14709,727,1,random_label3
14710,524,8,random_label1
14710,557,8,random_label2
14710,306,8,random_label3
14711,524,8,random_label1
14711,557,8,random_label2
14711,306,8,random_label3
14712,524,0,random_label1
14712,557,0,random_label2
14712,306,0,random_label3
14713,524,1,random_label1
14713,557,1,random_label2
14713,306,1,random_label3
14714,524,8,random_label1
14714,557,8,random_label2
14714,306,8,random_label3
14715,524,2,random_label1
14715,557,0,random_label2
14715,306,1,random_label3
14716,524,1,random_label1
14716,557,1,random_label2
14716,306,5,random_label3
14717,524,1,random_label1
14717,557,1,random_label2
14717,306,1,random_label3
14718,524,8,random_label1
14718,557,8,random_label2
14718,306,8,random_label3
14719,524,6,random_label1
14719,557,1,random_label2
14719,306,6,random_label3
14720,746,2,random_label1
14720,197,6,random_label2
14720,430,5,random_label3
14721,746,1,random_label1
14721,197,1,random_label2
14721,430,1,random_label3
14722,746,1,random_label1
14722,197,1,random_label2
14722,430,1,random_label3
